image,snr_db,semantic_psnr,semantic_ok,ldpc_psnr,ldpc_ok,semantic_header_psnr,semantic_header_ok,reencode_psnr,reencode_ok,latsmooth_psnr,latsmooth_ok,gradent_psnr,gradent_ok,tv_psnr,tv_ok,watermark,alpha
kodim08,2.0,23.19566575517541,1,23.050711451702558,1,23.164164993826013,1,23.160187888947274,1,23.160187888947274,1,23.160187888947274,1,0.0,0,component,0.1
kodim08,2.5,23.441160906927312,1,23.87223096086033,1,24.189070697202453,1,23.49640537317417,1,23.49640537317417,1,23.49640537317417,1,0.0,0,component,0.1
kodim08,3.0,24.530638443312277,1,24.68530980836995,1,24.753620383158555,1,24.81417277677574,1,24.81417277677574,1,24.81417277677574,1,0.0,0,component,0.1
kodim08,3.5,25.393249688235574,1,25.31837878845827,1,25.20454162310994,1,24.5790116228764,1,24.5790116228764,1,24.5790116228764,1,0.0,0,component,0.1
kodim08,4.0,25.784269709096517,1,25.781773347011114,1,25.89634529305716,1,25.618167828281724,1,25.618167828281724,1,25.618167828281724,1,0.0,0,component,0.1
kodim13,-12.0,8.470517773344357,1,0.0,0,8.427268663646615,1,8.458574212632055,1,0.0,0,0.0,0,0.0,0,component,0.1
kodim13,-11.5,8.615452036946326,1,0.0,0,8.538960463359643,1,8.54411326323605,1,0.0,0,0.0,0,8.54411326323605,1,component,0.1
kodim13,-11.0,8.682031999485393,1,0.0,0,8.754597600266127,1,0.0,0,8.7746503470539,1,8.7746503470539,1,8.7746503470539,1,component,0.1
kodim13,-10.5,8.69716311277394,1,0.0,0,8.73725590829803,1,0.0,0,0.0,0,0.0,0,8.780553976062764,1,component,0.1
kodim13,-10.0,8.994754947677965,1,0.0,0,8.946779180273666,1,0.0,0,9.056973968817172,1,0.0,0,9.056973968817172,1,component,0.1
kodim13,-9.5,9.159795593861164,1,0.0,0,9.143031760108753,1,0.0,0,0.0,0,8.98315464911892,1,8.98315464911892,1,component,0.1
kodim13,-9.0,9.436573682703273,1,0.0,0,9.24616695732826,1,9.398776515848773,1,0.0,0,9.398776515848773,1,0.0,0,component,0.1
kodim13,-8.5,9.3927252460022,1,0.0,0,9.544892663336759,1,0.0,0,0.0,0,0.0,0,9.731748398209746,1,component,0.1
kodim13,-8.0,10.0549735620755,1,0.0,0,9.919690660946285,1,0.0,0,9.847285688496697,1,0.0,0,0.0,0,component,0.1
kodim13,-7.5,10.113756257550845,1,0.0,0,10.329173821626208,1,0.0,0,0.0,0,10.36670764310047,1,10.36670764310047,1,component,0.1
kodim13,-7.0,10.65138191373211,1,0.0,0,10.827711274430833,1,0.0,0,10.561784769384792,1,0.0,0,10.561784769384792,1,component,0.1
kodim13,-6.5,10.850169626811379,1,0.0,0,11.049902868085145,1,10.990964911840909,1,0.0,0,0.0,0,10.990964911840909,1,component,0.1
kodim13,-6.0,11.802025759776612,1,0.0,0,11.827197222797443,1,0.0,0,11.686931398921947,1,0.0,0,11.686931398921947,1,component,0.1
kodim13,-5.5,12.333324854399681,1,0.0,0,11.929222560551462,1,12.137973068469456,1,12.137973068469456,1,0.0,0,0.0,0,component,0.1
kodim13,-5.0,12.613829125497546,1,0.0,0,12.27455045798221,1,0.0,0,12.411352983468813,1,0.0,0,12.411352983468813,1,component,0.1
kodim13,-4.5,12.782960034627425,1,0.0,0,12.399885065151292,1,0.0,0,13.067214243169632,1,13.067214243169632,1,13.067214243169632,1,component,0.1
kodim13,-4.0,13.858570370226369,1,0.0,0,13.810444814991683,1,13.692068731306176,1,13.692068731306176,1,0.0,0,0.0,0,component,0.1
kodim13,-3.5,13.75836424638017,1,0.0,0,13.954671154871956,1,14.71196872638265,1,0.0,0,14.71196872638265,1,0.0,0,component,0.1
kodim13,-3.0,14.759497423817434,1,0.0,0,15.756476042614285,1,0.0,0,15.662646183284206,1,0.0,0,15.662646183284206,1,component,0.1
kodim13,-2.5,16.293608595301436,1,0.0,0,15.363740849529972,1,0.0,0,0.0,0,15.45321528717823,1,0.0,0,component,0.1
kodim13,-2.0,15.909713854815857,1,16.39921582674012,1,15.265704242246867,1,15.992211473907414,1,15.992211473907414,1,0.0,0,0.0,0,component,0.1
kodim13,-1.5,16.749412474815518,1,16.942013997765365,1,16.865071246025646,1,16.865394325623082,1,0.0,0,16.865394325623082,1,0.0,0,component,0.1
kodim13,-1.0,17.820100568226238,1,17.99980734527668,1,17.300577038011046,1,16.899488585159897,1,0.0,0,16.899488585159897,1,0.0,0,component,0.1
kodim13,-0.5,17.503102098625128,1,17.925114868663222,1,18.571082847596642,1,18.496139654230017,1,0.0,0,18.496139654230017,1,0.0,0,component,0.1
kodim13,0.0,19.663953088504208,1,19.32162581888236,1,19.463758176961917,1,19.74103681988478,1,0.0,0,19.74103681988478,1,0.0,0,component,0.1
kodim13,0.5,20.15011192725185,1,20.109949190180252,1,19.626756657462458,1,20.538390463400358,1,20.538390463400358,1,0.0,0,0.0,0,component,0.1
kodim13,1.0,20.76667590648396,1,20.886588493828153,1,20.212365532400565,1,21.073169695349804,1,21.073169695349804,1,21.073169695349804,1,0.0,0,component,0.1
kodim13,1.5,20.019278524211916,1,21.768696775158745,1,21.54452670377628,1,21.655908536001157,1,0.0,0,21.655908536001157,1,0.0,0,component,0.1
kodim13,2.0,22.30048950609158,1,22.29123738873281,1,21.723729583935455,1,22.05074923224913,1,22.05074923224913,1,22.05074923224913,1,0.0,0,component,0.1
kodim13,2.5,22.26747279410577,1,22.56923627087207,1,22.628655023167976,1,22.06799234929504,1,22.06799234929504,1,0.0,0,0.0,0,component,0.1
kodim13,3.0,22.873649419256587,1,22.751968612341283,1,23.11071376700567,1,22.738543032530494,1,0.0,0,22.738543032530494,1,0.0,0,component,0.1
kodim13,3.5,23.36016066142446,1,23.368173670916637,1,23.2744890715267,1,23.338597219243503,1,0.0,0,23.338597219243503,1,0.0,0,component,0.1
kodim13,4.0,23.677066403151812,1,23.70410817120738,1,23.58648696135553,1,23.602604534546945,1,0.0,0,23.602604534546945,1,0.0,0,component,0.1
kodim15,-12.0,9.243682277071613,1,0.0,0,9.221210798019099,1,9.005287858721115,1,9.005287858721115,1,9.005287858721115,1,9.005287858721115,1,component,0.1
